Time	Relaxation Modulus
101.3	18091.0
101.7	18060.0
102.0	18039.0
102.3	18018.0
102.6	17970.0
102.9	17934.0
103.2	17892.0
103.5	17868.0
103.8	17849.0
104.1	17811.0
104.4	17762.0
104.7	17727.0
105.0	17720.0
105.3	17669.0
105.7	17611.0
106.0	17604.0
106.3	17541.0
106.6	17510.0
106.9	17481.0
107.2	17442.0
107.5	17405.0
107.9	17372.0
108.2	17326.0
108.5	17292.0
108.8	17234.0
109.1	17222.0
109.5	17199.0
109.8	17185.0
110.1	17166.0
110.4	17125.0
110.7	17103.0
111.1	17066.0
111.4	17056.0
111.7	17038.0
112.0	16998.0
112.4	16963.0
112.7	16904.0
113.0	16860.0
113.3	16843.0
113.7	16812.0
114.0	16775.0
114.3	16750.0
114.7	16717.0
115.0	16699.0
115.3	16670.0
115.6	16649.0
116.0	16639.0
116.3	16611.0
116.6	16573.0
117.0	16533.0
117.3	16526.0
117.7	16519.0
118.0	16505.0
118.3	16449.0
118.7	16401.0
119.0	16367.0
119.3	16353.0
119.7	16328.0
120.0	16283.0
120.4	16254.0
120.7	16205.0
121.1	16185.0
121.4	16122.0
121.7	16056.0
122.1	16011.0
122.4	15989.0
122.8	15977.0
123.1	15965.0
123.5	15950.0
123.8	15947.0
124.2	15916.0
124.5	15888.0
124.9	15855.0
125.2	15817.0
125.6	15786.0
125.9	15732.0
126.3	15713.0
126.6	15714.0
127.0	15697.0
127.3	15690.0
127.7	15676.0
128.1	15652.0
128.4	15632.0
128.8	15591.0
129.1	15568.0
129.5	15499.0
129.9	15441.0
130.2	15439.0
130.6	15440.0
130.9	15397.0
131.3	15373.0
131.7	15317.0
132.0	15274.0
132.4	15261.0
132.8	15253.0
133.1	15221.0
133.5	15180.0
133.9	15152.0
134.2	15140.0
134.6	15120.0
135.0	15098.0
135.3	15073.0
135.7	15059.0
136.1	15032.0
136.5	15007.0
136.8	14975.0
137.2	14960.0
137.6	14934.0
138.0	14908.0
138.3	14892.0
138.7	14858.0
139.1	14828.0
139.5	14806.0
139.9	14773.0
140.2	14749.0
140.6	14728.0
141.0	14676.0
141.4	14645.0
141.8	14597.0
142.2	14552.0
142.6	14511.0
142.9	14443.0
143.3	14323.0
143.7	14283.0
144.1	14240.0
144.5	14202.0
144.9	14180.0
145.3	14177.0
145.7	14189.0
146.1	14180.0
146.5	14151.0
146.9	14123.0
147.2	14097.0
147.6	14082.0
148.0	14085.0
148.4	14095.0
148.8	14077.0
149.2	14024.0
149.6	14014.0
150.0	13982.0
150.4	13965.0
150.8	13947.0
151.2	13969.0
151.6	13955.0
152.1	13966.0
152.5	13939.0
152.9	13922.0
153.3	13893.0
153.7	13826.0
154.1	13803.0
154.5	13791.0
154.9	13800.0
155.3	13813.0
155.7	13795.0
156.2	13718.0
156.6	13703.0
157.0	13703.0
157.4	13660.0
157.8	13602.0
158.2	13611.0
158.6	13636.0
159.1	13635.0
159.5	13606.0
159.9	13545.0
160.3	13486.0
160.8	13416.0
161.2	13341.0
161.6	13275.0
162.0	13267.0
162.5	13237.0
162.9	13199.0
163.3	13096.0
163.7	13057.0
164.2	13011.0
164.6	12977.0
165.0	12937.0
165.5	12890.0
165.9	12882.0
166.3	12905.0
166.8	12903.0
167.2	12894.0
167.6	12946.0
168.1	12998.0
168.5	13014.0
168.9	13013.0
169.4	13020.0
169.8	12994.0
170.3	12971.0
170.7	12957.0
171.2	12936.0
171.6	12930.0
172.0	12843.0
172.5	12738.0
172.9	12662.0
173.4	12662.0
173.8	12614.0
174.3	12640.0
174.7	12667.0
175.2	12637.0
175.6	12644.0
176.1	12637.0
176.5	12628.0
177.0	12614.0
177.5	12582.0
177.9	12544.0
178.4	12511.0
178.8	12505.0
179.3	12473.0
179.8	12445.0
180.2	12415.0
180.7	12370.0
181.1	12330.0
181.6	12310.0
182.1	12274.0
182.5	12250.0
183.0	12226.0
183.5	12222.0
183.9	12205.0
184.4	12178.0
184.9	12171.0
