Angular Frequency,Storage Modulus,Loss Modulus
5.8365413688337e-05,211488.667612292,63976.0264310596
6.12153821936388e-05,217819.02583267,64276.958610811
7.47333323269197e-05,223812.23304038,61144.1903465846
7.47333323269197e-05,217122.460800052,60235.8242139518
8.56672893106371e-05,225561.156174696,58145.5075048403
8.98539747080134e-05,232295.080910018,58775.7458654772
0.000109693863592478,237363.94077722,56060.4553389531
0.000109693863592478,230551.194782474,55037.3137021971
0.000125745297524614,238796.809858996,53585.6113323138
0.000131886983842366,245305.601063004,54073.5614698625
0.00016100865298104,249776.091723122,51225.947140275
0.00016100865298104,242701.001718952,50674.2048954538
0.000184567995759494,250657.66338641,49556.8491334411
0.000193582564680209,257474.218174335,50003.5838953425
0.000202256772858473,254100.175337951,48880.9926962023
0.000236324459723636,261376.615889867,47647.4108867173
0.000236324459723636,254104.767878629,46766.9188050859
0.000270907294534181,261980.551635043,46021.6487300217
0.000284141209588001,268785.341446942,46520.599830421
0.000296872491201667,265186.788344553,45424.7879173945
0.000346884904838495,272165.513277455,44308.2635417595
0.000346884904838495,264746.096760915,43540.0874891631
0.000360323794132048,270431.369442946,43740.6782029411
0.000397638736124383,272329.978903025,42405.3265782146
0.000417062467433267,279433.855844173,43360.3452648007
0.000435741991446295,275372.55829913,42193.3479396859
0.000509155037250848,282314.94714207,41316.7220092894
0.000509155037250848,274706.970868756,40523.9512058094
0.00052884231137907,280456.884465489,40799.2472816482
0.00058365413688337,282073.127840951,39583.9975606065
0.000612153821936388,289404.17056896,40564.1358107108
0.00063959659281035,285139.12406118,39303.5147826957
0.000747333323269197,291734.736730473,38205.4860225193
0.000747333323269197,284077.570955392,37793.9338577344
0.000776225321266799,289792.57047272,37800.7904950894
0.000856672893106371,291235.61584305,36941.1363894511
0.000898539747080134,298602.740838896,37915.2593889106
0.00093879503689989,294263.504677233,36364.6258159417
0.00109693863592478,300785.605055622,35576.3071530669
0.00109693863592478,292857.897020822,35064.7363346889
0.0011393435265554,298512.009226271,34972.4915323078
0.00125745297524613,299885.755960596,33984.8890955772
0.00137795516780749,302656.507765899,33682.6109075868
0.0016100865298104,309049.441352498,33118.47171477
0.0016100865298104,300777.406805328,32532.2968187119
0.00167229983213719,306495.630363489,32459.6743725291
0.00184567995759494,307784.45251413,31564.0453410617
0.00202256772858473,310335.971803457,31255.6862100033
0.00236324459723636,316542.642121688,30707.3663031519
0.00236324459723636,308287.004075107,30337.625214869
0.002454657333442,314092.947252131,30065.5078033842
0.00270907294534181,315059.79247479,29235.4242057659
0.00296872491201667,317587.312410349,28863.5465411613
0.00346884904838495,323388.181117612,28701.254456083
0.00346884904838495,314952.181564552,28643.0468789919
0.00360292745119198,320972.841964849,28041.0895864468
0.00396520991454145,322073.74240347,27619.3480036669
0.00397638736124383,321583.688871438,27511.3735742432
0.00435741991446295,324009.163870328,27008.3450082787
0.00528834549125858,327411.246107767,25993.677068999
0.00582013511256393,328457.083254503,25578.9586959259
0.0058365413688337,327936.802639902,25777.0759850295
0.0063959659281035,330315.065234501,25388.6113622619
0.00776225321266799,333113.832634351,24472.3741472297
0.00854264823988809,334165.993747763,23956.5262296216
0.00856672893106371,333683.638078311,24259.6723336101
0.0093879503689989,335889.589071288,23684.1449539259
0.011393435265554,338678.453357872,23118.4697331761
0.0125391833127544,339542.438571699,22525.0240477009
0.0125745297524613,339088.908260351,23355.3783173731
0.0137795516780749,341143.020335076,22511.265138666
0.0167229983213719,343682.01314894,21918.1672465322
0.0184049183393356,344709.904974916,21816.3972210833
0.0202256772858473,346209.147597947,21646.0990391967
0.02454657333442,348611.991178374,21065.5385836059
0.0270145786267794,349402.420421956,21259.7547004426
0.0296872491201667,350918.505335265,21105.5932079818
0.0298580368010364,349390.548215222,21013.7416731276
