Data calculated via Fourier domain filtering

Frequency:	6.2831853

Number of harmonics used:	39

Number of cycles in input:	3

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

4.8243507	-4.0257424	166.9758222	0.0767079	-0.9967081	-0.0262466	0.9966355	0.0774115	-0.0269289
4.7912541	-4.0650763	165.6567621	0.0762289	-0.9967338	-0.0266638	0.9966714	0.0769447	-0.0269383
4.7578368	-4.1041382	164.2179761	0.1501850	-0.9882310	-0.0290492	0.9882339	0.1509162	-0.0248601
4.7241010	-4.1429254	162.4452934	0.2621222	-0.9644966	-0.0322209	0.9645971	0.2628626	-0.0213477
4.6900491	-4.1814353	160.1413809	0.3703980	-0.9282103	-0.0350842	0.9284120	0.3711400	-0.0174995
4.6556832	-4.2196653	157.1376290	0.4547965	-0.8898110	-0.0373691	0.8901032	0.4555397	-0.0141393
4.6210057	-4.2576129	153.3053920	0.5142697	-0.8567279	-0.0392945	0.8570995	0.5150217	-0.0115319
4.5860190	-4.2952755	148.5659022	0.5545043	-0.8311630	-0.0411470	0.8316092	0.5552781	-0.0096166
4.5507252	-4.3326506	142.8981252	0.5812539	-0.8125775	-0.0431478	0.8131001	0.5820655	-0.0082458
4.5151269	-4.3697357	136.3438307	0.5987241	-0.7996644	-0.0454559	0.8002719	0.5995930	-0.0072850
4.4792264	-4.4065284	129.0092268	0.6096965	-0.7911686	-0.0481925	0.7918760	0.6106459	-0.0066365
4.4430261	-4.4430261	121.0626561	0.6159372	-0.7861130	-0.0514556	0.7869422	0.6169952	-0.0062371
4.4065284	-4.4792264	112.7280732	0.6185215	-0.7838179	-0.0553228	0.7847979	0.6197222	-0.0060531
4.3697357	-4.5151269	104.2743065	0.6180273	-0.7838758	-0.0598413	0.7850430	0.6194114	-0.0060773
4.3326506	-4.5507252	96.0004333	0.6146109	-0.7861475	-0.0650042	0.7875438	0.6162261	-0.0063320
