Angular Frequency,Storage Modulus,Loss Modulus
0.00138087560979652,350686.605143655,15954.7331827908
0.00141282601088499,350318.340324515,15659.3952408515
0.00161223961054479,350745.742350423,15622.5857612361
0.00167658857375112,352410.649622695,15230.5048860817
0.00171060054113553,351553.048478309,15241.1236587865
0.00184642976294105,352575.092809225,15039.7969783346
0.00202684357721397,354236.46192292,14652.5244145174
0.00207379302553918,353912.725847166,14628.7160186937
0.00236640483509858,354336.575979423,14744.5531546931
0.00246087466947447,355951.7719013,14140.5750418878
0.00251082584675472,355039.524992143,14316.4494529434
0.0027099797447043,356146.723999684,13925.5620351408
0.00297506050384474,357643.610891964,13728.4913433316
0.00304389770336232,357307.904461333,13632.6814762723
0.00361208961430832,359115.787651533,13315.5395395739
0.00368539017786658,358281.779721192,13595.5741157834
0.00397765998048482,359376.390501695,13072.550117845
0.00436671913713252,360801.021193121,12881.16372014
0.00446780650276567,360443.247977477,13028.9979318656
0.00530183003864262,362197.02391993,12485.9051771579
0.00540932320424838,361288.23410631,13062.4969096827
0.00583840931935561,362283.090353505,12384.8211332992
0.00640941294812498,363780.046731499,12334.4144222279
0.00655786302861582,363370.723415203,12382.0085377883
0.00778200446518589,365103.503504447,12038.8959752354
0.00856947066195649,365199.289224438,11901.3210599099
0.00940778261929103,366527.172078268,11832.2613150102
0.011422654607092,367761.644643451,11754.6864209266
0.012578156390289,367954.004770271,11564.1058810235
0.0138087560979652,369185.105043648,11655.6603998608
0.0167658857375112,370346.204020823,11562.4540686595
0.0184623087994203,370537.73797188,11501.412354808
0.0202684357721397,371691.410960667,11787.6651243159
0.0246087466947447,373022.740600235,11684.7837473749
0.027099001915047,372959.987848388,11900.3711579976
0.0297506050384474,374286.909259075,12280.8989933948
0.0361208961430832,375312.972931073,12261.4808041763
0.0397758042728521,375543.721049997,12545.3545564874
0.0436671913713252,376650.507365873,13163.9035691418
0.0439979900665149,375183.624008713,12746.2011121206
0.0530183003864262,378026.300391303,13239.1984618793
0.0583840931935561,378174.949347223,13608.2947964139
0.0645791455234362,377954.537293956,13906.6438744868
0.0778200446518589,380638.452929286,14870.8740260987
0.0856947066195649,380806.17764445,15196.5307938733
0.0947884208940819,380558.409707394,15785.3623856165
0.11422654607092,383434.559871354,17152.8284087528
0.125781563902891,383589.390247653,17674.8248832105
0.139131128827994,383398.104528087,18344.0355043309
0.167658857375112,386488.202979137,20408.8213610283
0.184623087994203,386790.559692293,20968.1348133492
0.204216859739169,386640.662627841,22216.435950127
0.27099001915047,390438.183035741,25681.5481024604
0.299748672208159,390531.732347544,27251.2443450165
0.397758042728521,394817.230851702,32119.0333624979
0.439979900665149,395199.050824462,34352.4465834759
0.583840931935561,400117.68352265,40747.942334341
0.645791455234362,401094.611005831,43597.6675412267
0.856947066195649,406909.482195996,52375.6916434924
0.947884208940819,408139.805422568,55969.5005818303
1.39131128827994,417887.131589098,72594.980293292
2.04216859739169,430709.974983577,93976.2118843917
2.65556400287243,437030.958163932,110339.549743087
2.99748672208159,447404.236230488,121242.195129861
3.89782599165155,457272.263404244,142432.403926921
4.39979900665149,469561.716578801,155917.914929949
5.7213434174145,483398.616144002,182945.559636781
6.45791455234362,498459.787401147,199476.278736633
8.39764426929949,516550.371608014,234516.088330029
12.3259518698379,558835.150613554,299047.975962371
18.0921211826743,612879.84287491,379809.562062045
26.5556400287243,679946.98453383,483653.159720968
38.9782599165155,763579.822181677,616107.455430835
57.213434174145,865590.706086446,785704.749891534
83.9764426929949,993391.94520938,1009611.46193363
